abndn,abandon
abndnd,abandoned
abndng,abandoning
abndnm,abandonment
abrvt,abbreviate
abrvz,abbreviation
abrvs,abbreviations
abdct,abdicate
abdctd,abdicated
abdmn,abdomen
abdmnl,abdominal
abduct,abduct
abhr,abhor
abid,abide
abidd,abided
abidg,abiding
ablts,abilities
ablt,ability
abjct,abject
ab,able
abnrml,abnormal
abnrmlts,abnormalities
abnmlt,abnormality
abord,aboard
abols,abolish
abrt,abort
abrz,abortion
abnd,abound
abt,about
abv,above
abraz,abrasion
abrasv,abrasive
abrst,abreast
abrpt,abrupt
absnc,absence
absnt,absent
abslut,absolute
abslutl,absolutely
absrb,absorb
absrbd,absorbed
absrbg,absorbing
absrbs,absorbs
abstrct,abstract
abstrcz,abstraction
absrd,absurd
abndnc,abundance
abndnt,abundant
abus,abuse
abusd,abused
acdmc,academic
aclrt,accelerate
aclrtd,accelerated
aclrts,accelerates
aclrtg,accelerating
aclrz,acceleration
acent,accent
acpt,accept
acptb,acceptable
acptnc,acceptance
acptd,accepted
acptg,accepting
acpts,accepts
acs,access
acsb,accessible
acdnt,accident
acdntl,accidental
acdntll,accidentally
acdnts,accidents
acmdt,accommodate
acmdtg,accommodating
acmdz,accommodation
acpnd,accompanied
acpns,accompanies
acmpn,accompany
acmpng,accompanying
acpls,accomplish
acplsd,accomplished
acplsg,accomplishing
acplsm,accomplishment
acplsms,accomplishments
acrd,accord
acrdnc,accordance
acrdg,according
acrdgl,accordingly
acnt,account
acntb,accountable
acntd,accounted
acntg,accounting
acnts,accounts
acumlt,accumulate
acumltd,accumulated
acumlts,accumulates
acumltg,accumulating
acumlz,accumulation
acurc,accuracy
acurt,accurate
acurtl,accurately
acus,accuse
acusd,accused
acstmd,accustomed
ak,ache
aks,aches
aceb,achievable
acev,achieve
acevd,achieved
acevm,achievement
acevms,achievements
acevs,achieves
acevg,achieving
akg,aching
acd,acid
acds,acids
aklj,acknowledge
akljd,acknowledged
akljm,acknowledgement
acant,acquaint
acntnc,acquaintance
acntncs,acquaintances
acantd,acquainted
acir,acquire
acird,acquired
acirg,acquiring
acrs,acres
acros,across
act,act
actd,acted
actg,acting
acz,action
aczs,actions
actv,active
actvl,actively
actvts,activities
actvt,activity
actr,actor
acts,acts
actl,actual
actll,actually
acut,acute
acutl,acutely
adap,adapt
adapz,adaptation
adapd,adapted
adapg,adapting
adaps,adapts
ad,add
add,added
adictg,addicting
adg,adding
adz,addition
adzl,additional
adzs,additions
adrs,address
adrsd,addressed
adrss,addresses
adrsg,addressing
ads,adds
adep,adept
adct,adequate
adctl,adequately
ahrd,adhered
adhrnc,adherence
ajcnt,adjacent
ajn,adjoin
ajng,adjoining
ajst,adjust
ajstd,adjusted
ajstg,adjusting
ajstm,adjustment
ajstms,adjustments
amnstr,administer
amnstrz,administration
amrb,admirable
amrz,admiration
amir,admire
amird,admired
amirg,admiring
amiz,admission
amit,admit
amits,admits
amitd,admitted
amitg,admitting
adop,adopt
adopd,adopted
adopg,adopting
adlt,adult
adlts,adults
avnc,advance
avncd,advanced
avncm,advancement
avncms,advancements
avncs,advances
avncg,advancing
avntj,advantage
avntjus,advantageous
avntjs,advantages
avntr,adventure
avntrs,adventures
avrsrs,adversaries
avrs,adverse
avrsts,adversities
avrst,adversity
avrtzg,advertising
avic,advice
avisb,advisable
avis,advise
avisd,advised
avisg,advising
avisrs,advisors
avoct,advocate
avocts,advocates
afr,affair
afrs,affairs
afct,affect
afctd,affected
afctg,affecting
afcz,affection
afcts,affects
afrm,affirm
afrmz,affirmation
afrmtv,affirmative
aflctd,afflicted
aflcz,affliction
afrd,afford
afrdb,affordable
aflot,afloat
afrad,afraid
af,after
afnn,afternoon
afwd,afterward
agn,again
agnst,against
aj,age
ajd,aged
ajncs,agencies
ajnc,agency
ajnda,agenda
ajnt,agent
ajnts,agents
ajs,ages
agrvt,aggravate
agrvtg,aggravating
agrvz,aggravation
agrz,aggression
agrsv,aggressive
agrsvns,aggressiveness
ajil,agile
ajlt,agility
ajg,aging
agtt,agitate
ajttd,agitated
ag,ago
agnz,agonize
agnzg,agonizing
agre,agree
agred,agreed
agreg,agreeing
agrem,agreement
agrems,agreements
agres,agrees
agrcltrl,agricultural
agrcltr,agriculture
ahd,ahead
aid,aid
aidd,aided
am,aim
amd,aimed
amg,aiming
amls,aimless
amlsl,aimlessly
amlsns,aimlessness
ams,aims
ar,air
arcrft,aircraft
arplan,airplane
arplans,airplanes
arprt,airport
alrm,alarm
alrmd,alarmed
alrmg,alarming
alrms,alarms
albm,album
alchl,alcohol
alchlc,alcoholic
alrt,alert
alrts,alerts
alen,alien
alent,alienate
alentd,alienated
alentg,alienating
alin,align
alind,aligned
alinm,alignment
alik,alike
alv,alive
al,all
alrgc,allergic
alrgs,allergies
alrg,allergy
alevt,alleviate
alinc,alliance
alis,allies
aloct,allocate
aloctd,allocated
alotm,allotment
alotd,allotted
alo,allow
alonc,allowance
alod,allowed
alog,allowing
alos,allows
aludd,alluded
aluds,alludes
aluz,allusion
ali,ally
almo,almost
alft,aloft
alon,alone
alg,along
alwd,aloud
alrd,already
aso,also
altar,altar
altr,alter
altrz,alteration
altrzs,alterations
altrd,altered
altrg,altering
altrnt,alternate
altrntg,alternating
altrntv,alternative
altrntvs,alternatives
altou,although
alttud,altitude
altgr,altogether
alws,always
m,am
amas,amass
amz,amaze
amzd,amazed
amzm,amazement
amzs,amazes
amzg,amazing
ambnt,ambient
ambgut,ambiguity
ambgus,ambiguous
ambz,ambition
ambzs,ambitions
ambsus,ambitious
ambvlnc,ambivalence
ambvlnt,ambivalent
amblg,ambling
ambus,ambush
amndd,amended
amndm,amendment
amrca,America
amrcn,American
amrcns,Americans
amunz,ammunition
